 reading input parameter from Param.in
  meteorologic parameters
  canopy parameters
  interception parameters
  snow parameters
  leaf parameters affecting PE
  soil parameters
  i1=            1 i2=           13
  flow parameters
  integration specifications
  heat flow
 in\Param.in closed
 in\Climate.in opened
 begin day loop

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
 1. 1.2000  459.  -0.08   0.00    3.0  -0.3  11.4   0.0  -0.2   0.0      -0.304
 2. 1.2000  454.  -0.01   0.00    0.0  -0.1   5.4   0.0  -0.1   0.0      -0.230
 3. 1.2000  456.   0.10   0.00    5.8   0.1   4.5   0.0   0.0   0.0       0.110
 4. 1.2000  460.  -0.07   0.00   10.5  -0.3   6.0   0.0  -0.2   0.0       0.203
 5. 1.2000  455.   0.22   0.00    0.0   0.2   5.6   0.0   0.1   0.0      -0.229
 6. 1.2000  452.   0.01   0.00    1.1   0.0   3.9   0.0   0.0   0.0      -0.170
 7. 1.2000  449.   0.05   0.00    0.0   0.0   3.2   0.0   0.0   0.0      -0.164
 8. 1.2000  447.   0.05   0.00    0.8   0.0   2.7   0.0   0.0   0.0      -0.131
 9. 1.2000  445.   0.00   0.00    0.0   0.0   2.4   0.0   0.0   0.0      -0.129
10. 1.2000  443.   0.00   0.00    0.0  -0.1   2.1   0.0   0.0   0.0      -0.113
11. 1.2000  441.   0.00   0.00    0.0   0.0   1.9   0.0   0.0   0.0      -0.112
12. 1.2000  440.  -0.11   0.00    0.0  -0.2   1.7   0.0  -0.1   0.0      -0.115
13. 1.2000  439.  -0.12   0.00    0.0  -0.2   1.6   0.0  -0.1   0.0      -0.104
14. 1.2000  437.  -0.10   0.00    0.0  -0.3   1.5   0.0  -0.2   0.0      -0.100
15. 1.2000  436.   0.04   0.26    0.7   0.0   1.4   0.0  -0.1   0.0      -0.090
16. 1.2000  437.  -0.12   1.90    3.4  -0.1   1.4   0.0  -0.2   0.0       0.061
17. 1.2000  443.  -0.05   0.00    5.7  -0.4   1.6   0.0  -0.1   0.0       0.127
18. 1.2000  443.   0.16   0.00    2.1   0.2   1.9   0.0   0.0   0.0       0.065
19. 1.2000  441.   0.16   0.00    0.0   0.2   1.8   0.0   0.1   0.0      -0.111
20. 1.2000  443.  -0.02   9.19   13.1   0.0   1.8   0.0   0.0   0.0       0.119

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
21. 1.2000  443.   0.19  12.02    5.5   0.2   1.9   0.0   0.0   0.0       0.073
22. 1.2000  444.  -0.15  22.00   12.3  -0.1   2.0   0.0  -0.3   0.0       0.066
23. 1.2000  442.  -0.07  21.57    0.0   0.1   1.9   0.0  -0.1   0.0      -0.110
24. 1.2000  441.   0.08  21.22    0.0   0.1   1.8   0.0  -0.1   0.0      -0.105
25. 1.2000  440.   0.12  20.87    0.0   0.1   1.7   0.0   0.0   0.0      -0.102
26. 1.2000  438.  -0.09  22.34    1.8  -0.2   1.6   0.0  -0.2   0.0      -0.107
27. 1.2000  437.  -0.18  22.27    0.0  -0.3   1.5   0.0  -0.2   0.0      -0.102
28. 1.2000  436.   0.12  28.26    6.4   0.1   1.4   0.0  -0.1   0.0      -0.094
29. 1.2000  468.   0.01  23.97   46.5  -0.5  20.0   0.0  -0.1   0.0       0.092
30. 1.2000  465.   0.92  13.87    7.3   0.7  19.9   0.0   0.5   0.0      -0.184
31. 1.2000  466.   0.03   1.49    5.7  -0.6  18.2   0.0  -0.1   0.0       0.099
 1. 2.2000  459.   0.17   0.00    0.7   0.0   9.5   0.0   0.3   0.0      -0.277
 2. 2.2000  458.   0.14   0.00    5.7   0.1   6.2   0.0   0.0   0.0      -0.082
 3. 2.2000  453.   0.05   0.00    0.0   0.5   4.8   0.0   0.8   0.0      -0.220
 4. 2.2000  451.   0.13   0.00    2.1   0.4   3.6   0.0   0.5   0.0      -0.147
 5. 2.2000  448.   0.00   0.00    0.0   0.2   3.0   0.0   0.4   0.0      -0.174
 6. 2.2000  449.   0.24   0.00    4.0   0.6   2.8   0.0   0.6   0.0       0.069
 7. 2.2000  450.   0.25   0.00    4.1   0.4   2.9   0.0   0.3   0.0       0.084
 8. 2.2000  454.   0.26   0.00    8.4   0.4   3.5   0.0   0.4   0.0       0.191
 9. 2.2000  452.   0.14   0.00    2.3   0.2   3.8   0.0   0.1   0.0      -0.138

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
10. 2.2000  452.   0.23   0.00    3.9   0.4   3.6   0.0   0.4   0.0      -0.053
11. 2.2000  449.   0.00   0.00    0.0   0.1   3.2   0.0   0.3   0.0      -0.179
12. 2.2000  453.   0.40   2.06   10.1   0.4   3.3   0.0   0.5   0.0       0.191
13. 2.2000  454.   0.04   0.00    2.7  -0.1   4.0   0.0   0.0   0.0       0.078
14. 2.2000  455.   0.41   0.00    6.4   0.4   4.4   0.0   0.3   0.0       0.132
15. 2.2000  454.   0.11   0.00    2.9   0.1   4.4   0.0   0.1   0.0      -0.135
16. 2.2000  455.   0.58   6.00   11.6   0.6   4.2   0.0   0.5   0.0       0.090
17. 2.2000  451.   0.16   9.14    3.8   0.3   3.8   0.0   0.1   0.0      -0.174
18. 2.2000  450.   0.05  18.76   12.0   0.1   3.2   0.0   0.0   0.0      -0.124
19. 2.2000  460.  -0.02  16.89   13.0   0.0   4.8   0.0  -0.1   0.0       0.197
20. 2.2000  455.  -0.03  17.25    0.8   0.1   5.6   0.0  -0.1   0.0      -0.225
21. 2.2000  451.   0.22  17.81    0.9   0.2   3.9   0.0   0.0   0.0      -0.177
22. 2.2000  449.   0.09  18.82    1.4   0.1   3.1   0.0  -0.1   0.0      -0.146
23. 2.2000  451.   0.22  14.33    0.5   0.2   3.0   0.0   0.1   0.0       0.135
24. 2.2000  465.   0.03   8.08   16.5  -0.1   8.1   0.0   0.0   0.0       0.237
25. 2.2000  461.   0.00  12.08   11.1   0.0  11.0   0.0   0.0   0.0      -0.235
26. 2.2000  459.   0.32   7.32    0.1   0.3   7.5   0.0   0.2   0.0      -0.165
27. 2.2000  457.   0.00   2.85    0.0   0.0   6.1   0.0   0.5   0.0      -0.127
28. 2.2000  458.   0.23   0.00    3.9   0.1   5.9   0.0   0.8   0.0       0.090
29. 2.2000  460.   0.26   0.00    8.7   0.5   6.6   0.0   0.5   0.0       0.126

 date      store  inter   snow   rain    et drain   lat    ep    tp  mbal error
           ------------------------- mm ----------------------------------------
