YR;  MO;        MESFL;  FLOW;  EVAP;  TRAN;  IRVP;  ISVP;  SLVP;  SNVP;  PINT; PTRAN; PSLVP
2001;  1;           0.0;   50.6;    2.6;    0.0;    1.4;    1.5;    0.3;   -0.5;    7.8;    0.0;    1.1
2001;  2;           0.0;   84.9;    2.6;    0.0;    1.0;    0.6;    1.8;   -0.8;   11.3;    0.0;    4.6
2001;  3;           0.0;  120.5;    6.1;    0.0;    2.9;    1.5;    2.9;   -1.1;   12.6;    0.0;    8.9
2001;  4;           0.0;   76.5;   23.1;    0.0;    3.5;    0.3;   19.4;   -0.1;   43.5;    0.0;   32.5
2001;  5;           0.0;    1.8;   62.3;   19.9;    2.7;    0.0;   39.7;    0.0;  128.1;   19.9;   57.7
2001;  6;           0.0;   25.3;   68.7;   45.3;   15.9;    0.0;    7.5;    0.0;  119.9;   45.3;    8.7
2001;  7;           0.0;    1.8;  101.8;   77.6;   13.1;    0.0;   11.1;    0.0;  194.5;   77.7;   13.1
2001;  8;           0.0;    1.8;   83.1;   56.5;   18.2;    0.0;    8.4;    0.0;  157.6;   56.5;   10.7
2001;  9;           0.0;  185.4;   29.8;    6.3;   21.5;    0.0;    2.0;    0.0;   39.1;    6.3;    3.1
2001; 10;           0.0;   24.4;   21.9;   10.8;    7.3;    0.0;    3.8;    0.0;   54.1;   10.8;    4.8
2001; 11;           0.0;  114.2;    4.3;    0.6;    3.4;    0.2;    0.2;   -0.1;   10.5;    0.6;    1.0
2001; 12;           0.0;   57.3;   -1.0;    0.0;    0.3;   -1.2;   -0.6;    0.6;   -0.6;    0.0;   -3.7
2002;  1;           0.0;  190.5;   -0.4;    0.0;    1.8;    1.2;    0.0;   -3.3;   11.8;    0.0;    2.2
2002;  2;           0.0;  187.6;    9.0;    0.0;    3.2;    0.7;    5.6;   -0.5;   25.9;    0.0;   12.8
2002;  3;           0.0;   59.7;   16.8;    0.0;    3.2;    0.2;   13.4;    0.0;   35.5;    0.0;   22.3
2002;  4;           0.0;   67.9;   27.1;    0.0;    2.5;    0.0;   24.7;    0.0;   49.9;    0.0;   37.8
2002;  5;           0.0;   69.6;   47.2;   13.3;    5.0;    0.0;   28.9;    0.0;   76.6;   13.3;   35.7
2002;  6;           0.0;   58.2;   74.3;   49.0;   15.8;    0.0;    9.5;    0.0;  136.2;   49.0;   11.1
2002;  7;           0.0;  143.2;   67.5;   39.7;   21.3;    0.0;    6.4;    0.0;  110.7;   39.7;    7.7
2002;  8;           0.0;    3.8;   68.3;   52.3;    8.9;    0.0;    7.1;    0.0;  119.5;   52.3;    8.0
2002;  9;           0.0;    1.7;   37.1;   27.3;    5.8;    0.0;    4.1;    0.0;   75.1;   27.3;    5.4
2002; 10;           0.0;  141.1;   16.8;    4.2;    9.9;    0.0;    2.6;    0.0;   33.4;    4.2;    4.3
2002; 11;           0.0;  155.2;    3.1;    0.0;    2.9;    0.0;    0.2;    0.0;    5.4;    0.0;    1.3
2002; 12;           0.0;  130.3;   -3.1;    0.0;    0.2;   -1.8;   -0.6;   -0.8;   -1.5;    0.0;   -3.2
2003;  1;           0.0;  153.7;   -0.9;    0.0;    1.0;   -0.3;   -0.1;   -1.6;    1.3;    0.0;   -1.3
2003;  2;           0.0;   54.6;    0.5;    0.0;    0.2;    0.4;    0.0;    0.0;    9.7;    0.0;    2.2
2003;  3;           0.0;   45.6;   17.7;    0.0;    1.1;    0.0;   16.8;   -0.2;   40.3;    0.0;   26.0
2003;  4;           0.0;    9.6;   38.5;    0.0;    2.4;    0.0;   36.1;    0.0;   74.3;    0.0;   52.0
2003;  5;           0.0;    8.8;   59.8;   24.3;    6.9;    0.0;   28.6;    0.0;  106.6;   24.3;   35.5
2003;  6;           0.0;    1.7;   98.4;   77.0;   10.9;    0.0;   10.6;    0.0;  183.5;   77.1;   12.5
2003;  7;           0.0;    1.2;   90.5;   68.1;   14.6;    0.0;    7.8;    0.0;  178.9;   68.2;   12.2
2003;  8;           0.0;    0.2;   82.6;   71.1;    8.2;    0.0;    3.2;    0.0;  218.6;   90.3;   13.9
2003;  9;           0.0;    0.1;   53.3;   37.4;   10.5;    0.0;    5.4;    0.0;  100.3;   37.4;    6.8
2003; 10;           0.0;   10.4;   14.4;    4.6;    7.7;    0.3;    1.8;    0.0;   27.5;    4.6;    2.7
2003; 11;           0.0;   44.4;    5.1;    1.3;    2.1;    0.0;    1.7;    0.0;   15.5;    1.3;    3.1
2003; 12;           0.0;  106.9;    0.4;    0.0;    1.0;    0.3;   -0.3;   -0.6;    6.9;    0.0;    1.1
